scn_id,scn_sentence,scn_cls,model,temp
01E8SK,A woman talks to her plants as if they can hear her,1,gpt-3.5-turbo,1
01OC6H,A woman avoids making eye contact and fidgets with her hands while talking,1,gpt-3.5-turbo,1
027ZBE,A neighbor paints their front door a different color every month,1,gpt-3.5-turbo,1
03A9EO,"A man consistently double-checks that all the doors and windows in his house are locked, multiple times a day",1,gpt-3.5-turbo,1
03SBU2,A hairdryer is found inside a kitchen pot,0,gpt-4-0613,0.7
05MQC6,"A woman, once slow at typing, now hammers at the keyboard with remarkable speed",2,gpt-4-0613,1
079ETM,"An alarm clock, once set religiously every night, now collects dust unused",2,gpt-4-0613,1
07DFJ6,A pair of scissors is lying on the balcony railing,0,gpt-4-0613,0.7
08AS9K,A habitual early riser is seen sleeping in till noon,2,gpt-4-0613,1
08OL2H,"The vintage car, once a symbol of luxury, was covered in rust",2,gpt-4-0613,1
08X4EY,A dog leash is hanging on a clothes hanger,0,gpt-4-0613,0.7
09B8NJ,"A television remote is on the kitchen counter, next to the coffee machine",0,gpt-4-0613,0.7
0B6J3P,"A soccer ball is in the library, sitting quietly on a bookshelf",0,gpt-4-0613,0.7
0C2F5Q,"A teenager insists on wearing gloves at all times, even in warm weather",1,gpt-3.5-turbo,1
0G1V9J,A pillow is in the oven,0,gpt-4-0613,0.7
0GDK82,A hammer is lying on the pillow of the bed,0,gpt-4-0613,0.7
0I26RY,An employee takes long lunch breaks but finishes all their work on time,1,gpt-3.5-turbo,1
0J45IK,"A roommate always leaves the bathroom light on, even when they are not inside",1,gpt-3.5-turbo,1
0L62UT,A coworker always carries a pocket watch and checks it several times an hour,1,gpt-3.5-turbo,1
0L6GR8,"A car, always glistening clean, now wears a dull, dusty coat",2,gpt-4-0613,1
0L6Y9V,A man consistently loses his keys but never bothers to find a better place to keep them,1,gpt-3.5-turbo,1
0NS7Q5,A pair of glasses is on the flower pot,0,gpt-4-0613,0.7
0RG51B,A man parks his car far away from any other vehicles in the parking lot,1,gpt-3.5-turbo,1
0T1EG6,"A coworker eats the same sandwich for lunch every day, never trying anything new",1,gpt-3.5-turbo,1
0UM67E,The noisy street was eerily quiet,2,gpt-4-0613,1
0V68RD,"A man constantly taps his foot or clicks his pen, even when there is no apparent reason to be restless",1,gpt-3.5-turbo,1
0W46YU,"The teacher, known for her strictness, laughed heartily",2,gpt-4-0613,1
0WX2G1,"A teenager always wears sunglasses indoors, even when there is minimal light",1,gpt-3.5-turbo,1
0Y9A3G,"A wallet, once fat with money, is now sadly thin",2,gpt-4-0613,1
126YSH,A pillow is lying on the kitchen table,0,gpt-4-0613,0.7
12A4PX,A soccer ball is placed on a bookshelf,0,gpt-4-0613,0.7
13WYS9,A white picket fence had turned a faded grey,2,gpt-4-0613,1
18QW4T,"The garden, once overgrown, is now neatly manicured",2,gpt-4-0613,1
190SDX,"A bottle of red wine, kept for years, is now opened and half-empty.",2,gpt-4-0613,1
19KVF6,The television remote is found submerged in the fish tank,0,gpt-4-0613,0.7
1A8OP4,A subway train that faithfully arrived on time every day was late,2,gpt-4-0613,1
1AW97N,"Once barren, the garden now proliferated with various flora",2,gpt-4-0613,1
1BE24V,"An old pair of sneakers, once bright white, are now stained brown and tattered",2,gpt-4-0613,1
1EN58V,"A favorite book, once handled with care, now rests worn and creased from heavy use",2,gpt-4-0613,1
1F4G5C,"A woman walks into a cafe, orders a coffee, but immediately leaves without taking a sip",1,gpt-3.5-turbo,1
1GI7M0,A frying pan is in the mailbox,0,gpt-4-0613,0.7
1H86EN,"A laptop, typically loud with humming fans, now operates in near silence",2,gpt-4-0613,1
1J72RF,"A person always insists on paying for others, even when they protest",1,gpt-3.5-turbo,1
1M3QG5,A dog stands eagerly in front of a door,2,gpt-4-0613,1
1S49UP,A dilapidated building turned into a modern architectural marvel,2,gpt-4-0613,1
1SN9E6,An overgrown bush is now trimmed into an appealing shape,2,gpt-4-0613,1
1V29MW,A dish towel is lying on the computer keyboard,0,gpt-4-0613,0.7
1V5E3U,"A colleague always asks for advice, but never takes any of the suggestions",1,gpt-3.5-turbo,1
1WP2E8,Someone consistently brings up controversial topics in social gatherings,1,gpt-3.5-turbo,1
1WP3D4,"A student consistently arrives to class early, but never takes out their notebook or textbook",1,gpt-3.5-turbo,1
20EWU4,An empty wallet is filled with crisp banknotes,2,gpt-4-0613,1
20N1MR,A pair of slippers is sitting on the dashboard of the car.,0,gpt-4-0613,0.7
21ME7N,A pacing young man sits down abruptly,2,gpt-4-0613,1
234ZNI,A toothbrush is stuck in a pot of houseplant,0,gpt-4-0613,0.7
23N8MQ,A television remote is placed inside a flower pot,0,gpt-4-0613,0.7
24BW0N,"A baseball bat is in the middle of the classroom, resting on the teacher's desk",0,gpt-4-0613,0.7
24QD7I,"A parent always insists on cooking dinner, but the meals are always burned or undercooked",1,gpt-3.5-turbo,1
25F4GO,The same man found his once vibrant roses browning and wilting,2,gpt-4-0613,1
25MI1A,"A child, who used to balk at vegetables, now appreciates a plateful of greens",2,gpt-4-0613,1
27YAG8,The bright and lively paint on the town murals was now faded and peeling off,2,gpt-4-0613,1
28GO5B,"A friend constantly makes sarcastic remarks, even when it's inappropriate",1,gpt-3.5-turbo,1
28ZGY5,A wallet is found inside a flower vase.,0,gpt-4-0613,0.7
2A9DT4,A water bottle is lying in the mailbox,0,gpt-4-0613,0.7
2ASR85,A friend always borrows things and never returns them,1,gpt-3.5-turbo,1
2HJ1R6,The dog that always barked at strangers wagged its tail instead,2,gpt-4-0613,1
2J96KP,A teapot is found in the tool shed,0,gpt-4-0613,0.7
2L6OM4,A person consistently ignores others' personal boundaries and invades their personal space,1,gpt-3.5-turbo,1
2M6W4G,The young punk was tidily dressed in a suit and tie,2,gpt-4-0613,1
2M8G4R,A man checks his phone every few minutes during a conversation,1,gpt-3.5-turbo,1
2O8WQ0,"A woman repeatedly rewatches the same movie, even though she claims to dislike it.",1,gpt-3.5-turbo,1
2Q91OY,"A student always sits in the front row of class, yet rarely pays attention to the lecture",1,gpt-3.5-turbo,1
2RSH04,A colleague takes credit for others' ideas and presents them as their own,1,gpt-3.5-turbo,1
2T7S3O,A woman buys a cart full of groceries but only pays for two items,1,gpt-3.5-turbo,1
2THX46,A hairbrush is tucked into a flower pot,0,gpt-4-0613,0.7
2U5G4S,A rundown building was now a luxurious hotel,2,gpt-4-0613,1
2U61AF,"A room, typically in meticulous order, now appears scattered in disarray",2,gpt-4-0613,1
2UT8K1,A hammer is on a dinner plate,0,gpt-4-0613,0.7
2X7B4M,A can opener is seen on the bathroom counter,0,gpt-4-0613,0.7
2XE08T,A teenager refuses to eat anything except for cereal,1,gpt-3.5-turbo,1
2Y4L9D,A neighbor goes out for a run every night at exactly 3:00 AM,1,gpt-3.5-turbo,1
327VAW,A potted plant is found in the wardrobe,0,gpt-4-0613,0.7
34AH2C,A coat hanger is found in the dishwasher,0,gpt-4-0613,0.7
34W0UJ,The baker has stopped smiling at customers,2,gpt-4-0613,1
376WKO,"A woman always takes the longest way home, even if there are faster routes available.",1,gpt-3.5-turbo,1
378XGA,A businessman uses an outdated flip phone instead of a modern smartphone,1,gpt-3.5-turbo,1
38EJ5F,"A child refuses to eat any vegetables, even when they are mixed in with other foods",1,gpt-3.5-turbo,1
38KA5F,A broom is propped up against the dining table,0,gpt-4-0613,0.7
3AX7V6,A book is found in the refrigerator,0,gpt-4-0613,0.7
3BA12Y,"A man never answers his phone, but always returns missed calls immediately",1,gpt-3.5-turbo,1
3BT57W,"The bookshelf, usually a jumbled mess, was neatly organized",2,gpt-4-0613,1
3C6UM4,"An old piano, once gleaming, was covered in dust",2,gpt-4-0613,1
3D89GF,A diary is in the freezer,0,gpt-4-0613,0.7
3GNI46,"A coworker always offers to help, but never follows through on their promises",1,gpt-3.5-turbo,1
3HR1G7,An old man forgoes his habitual checkers game at the park,2,gpt-4-0613,1
3J7UF5,"A coworker always eats their lunch alone in their car, even when there is a cafeteria available",1,gpt-3.5-turbo,1
3K94LA,"A student, once struggling with math, now solves equations with ease",2,gpt-4-0613,1
3LP9I0,"A shopping cart is in the middle of a city park, far from any supermarket",0,gpt-4-0613,0.7
3PO86T,An umbrella is open inside the gym,0,gpt-4-0613,0.7
3R2ZQ7,A neighbor never responds to greetings or acknowledges others' presence.,1,gpt-3.5-turbo,1
3R4P0U,A can opener is hanging on a clothesline,0,gpt-4-0613,0.7
3RCY10,The couple that always walked hand in hand now walked at a noticeable distance,2,gpt-4-0613,1
3T52CP,"A neighbor takes the same walk around the block multiple times a day, rain or shine",1,gpt-3.5-turbo,1
3U21VA,A pair of gloves is on a dining table,0,gpt-4-0613,0.7
3UOC95,The washing machine is filled with dishes,0,gpt-4-0613,0.7
3Z2M0Q,A bland room had been ornamented with vibrant tapestries and paintings,2,gpt-4-0613,1
3Z4UW0,A shower cap is in a mailbox,0,gpt-4-0613,0.7
3ZN9S6,"A microwave is standing in the middle of the garden, surrounded by flowers",0,gpt-4-0613,0.7
3ZQ5A4,"A book, once pristine, now sports frayed edges and a cracked spine",2,gpt-4-0613,1
41AO3Q,"A lamp shined brightly on the desk, suddenly went dark",2,gpt-4-0613,1
41DAL3,A spoiled child has starting sharing his toys,2,gpt-4-0613,1
42INJ9,A classmate never contributes during group discussions but always expects a good grade,1,gpt-3.5-turbo,1
42P8CG,"A neighbor spends hours in their backyard, meticulously rearranging their plants",1,gpt-3.5-turbo,1
43TVL7,"A bicycle, previously squeaking with each turn, now glides smoothly along the path",2,gpt-4-0613,1
450AWN,A drink that fizzed and crackled upon opening sat still and flat,2,gpt-4-0613,1
45T6AB,A single flip flop is floating in the swimming pool,0,gpt-4-0613,0.7
46AU3O,A cat that often lay dozing on the windowsill was clawing at the screen,2,gpt-4-0613,1
4A39QI,"A fountain, always gushing, now trickles gently",2,gpt-4-0613,1
4B67DA,A coworker always has a pocketful of coins and constantly fiddles with them,1,gpt-3.5-turbo,1
4DLJ57,A lawn mower is standing in the kitchen,0,gpt-4-0613,0.7
4FZT95,A pair of slippers is seen on the dining table,0,gpt-4-0613,0.7
4I1TB3,A cell phone is lying in the vegetable basket,0,gpt-4-0613,0.7
4I89ZC,An endless desert was gradually replaced by vast expanses of green fields,2,gpt-4-0613,1
4IL90H,"A kettle is on the bathroom floor, next to the bathtub",0,gpt-4-0613,0.7
4IOE78,A crowded park on a Sunday afternoon is now abandoned,2,gpt-4-0613,1
4J2M3F,A toothbrush is found in the garden,0,gpt-4-0613,0.7
4J7W5E,A house once overlooked was now painted a vibrant purple,2,gpt-4-0613,1
4M35YT,A student constantly chews on pens instead of using them to write,1,gpt-3.5-turbo,1
4MI9Q2,A broken and dry tree in the woods is blossoming with flowers,2,gpt-4-0613,1
4NBY83,The clock tower that used to chime every hour was silent,2,gpt-4-0613,1
4O32PL,A pair of shoes is on the bookshelf,0,gpt-4-0613,0.7
4PF78A,"A brass statue in town square neglected, turned green due to oxidization",2,gpt-4-0613,1
4RZM53,"In the dishwasher, a cell phone is spotted",0,gpt-4-0613,0.7
4T78KG,"A kitchen, clean and tidy, is now littered with dirty dishes and used utensils",2,gpt-4-0613,1
4XPI95,A toy plane is found in the washing machine,0,gpt-4-0613,0.7
4ZDT19,A noisy playground is eerily silent in the afternoon,2,gpt-4-0613,1
517JON,A hat is found in the oven,0,gpt-4-0613,0.7
519MYD,"A man always takes the stairs instead of the elevator, even when he has heavy bags",1,gpt-3.5-turbo,1
53O2CJ,A bicycle is hanging from the ceiling in the kitchen,0,gpt-4-0613,0.7
56I0AJ,A woman has a collection of stuffed animals that she treats as if they were real pets,1,gpt-3.5-turbo,1
56YTR4,"A lamp post, once tall and straight, now leaned at an odd angle",2,gpt-4-0613,1
57PBN1,A teenager sleeps with the lights on every night.,1,gpt-3.5-turbo,1
59GJD7,"A woman takes a different route to work every day, even though there is a quicker option",1,gpt-3.5-turbo,1
59LJ4P,"A man never wears shoes, going barefoot everywhere he goes",1,gpt-3.5-turbo,1
59U2AD,A man walks into a store and buys a large amount of baking soda,1,gpt-3.5-turbo,1
5B6UF8,A laptop is placed inside the oven,0,gpt-4-0613,0.7
5B8KD6,A woman buys a new book every week but never reads them,1,gpt-3.5-turbo,1
5C2J3N,"A teenager wears headphones whenever they are in a public place, even if they are not listening to anything",1,gpt-3.5-turbo,1
5D07WB,A roll of toilet paper is unspooled on the living room floor,0,gpt-4-0613,0.7
5EWQ48,"An athlete, once slow and hesitant, now races with swift precision",2,gpt-4-0613,1
5F6BV3,"A woman brings her own snacks to dinner parties, even when asked not to",1,gpt-3.5-turbo,1
5F8ZL4,"A pillow is in the refrigerator, nestled between the milk and eggs",0,gpt-4-0613,0.7
5FV16U,A hairbrush is inside the kitchen cabinet,0,gpt-4-0613,0.7
5IDG01,"A man walks into a store, picks up a loaf of bread, and then puts it back on the shelf without buying it",1,gpt-3.5-turbo,1
5L0R4Z,"A kitchen knife is spotted on the study table, next to a pile of books",0,gpt-4-0613,0.7
5QXA21,The robust man was visibly weakened,2,gpt-4-0613,1
5X09QT,The bottom-ranked team now holds the championship trophy,2,gpt-4-0613,1
601QXK,A coffee mug is in the washing machine,0,gpt-4-0613,0.7
618OVQ,A woman collects empty soda cans and hoards them in her house,1,gpt-3.5-turbo,1
61Q3TV,"A neighbor constantly rearranges the furniture in their house, even in the middle of the night",1,gpt-3.5-turbo,1
63UAF2,A bar of soap is found in the kitchen sink,0,gpt-4-0613,0.7
65AF7Q,A coworker always brings homemade snacks to share with everyone in the office,1,gpt-3.5-turbo,1
67IY9O,"A television remote is placed in the shoe rack, sandwiched between a pair of sneakers",0,gpt-4-0613,0.7
6DW4N9,"A coworker constantly complains about their workload, but never asks for assistance",1,gpt-3.5-turbo,1
6ECP95,"A wristwatch is in the bread box, ticking quietly",0,gpt-4-0613,0.7
6F9JH7,A toothpaste tube is in a shoe,0,gpt-4-0613,0.7
6J40CN,A plastic bag is floating in the fish pond,0,gpt-4-0613,0.7
6LGO97,A frying pan is found on the bed,0,gpt-4-0613,0.7
6M2W3O,A bath towel is draped over the computer monitor,0,gpt-4-0613,0.7
6NUK30,A snow shovel is standing next to the wardrobe in the bedroom,0,gpt-4-0613,0.7
6O4T8V,A quiet library is now brimming with animated chatter,2,gpt-4-0613,1
6PKI84,"A woman always carries an umbrella, even on sunny days",1,gpt-3.5-turbo,1
6Q41CA,"A man never uses any form of transportation, walking everywhere he needs to go",1,gpt-3.5-turbo,1
6U2S9T,"An orchard, once abundant with fruit, now houses barren trees",2,gpt-4-0613,1
6U32YE,"A woman never throws anything away, collecting seemingly useless items in her house",1,gpt-3.5-turbo,1
6WU52P,"In the fridge, a roll of toilet paper is chilling",0,gpt-4-0613,0.7
6Y4C0T,The once busy airport was completely deserted.,2,gpt-4-0613,1
70B3HL,A neighbor frequently talks to themselves while taking walks,1,gpt-3.5-turbo,1
720FWV,A pair of glasses is discovered in the fruit bowl,0,gpt-4-0613,0.7
72NF1Z,A pillow is on top of the car roof,0,gpt-4-0613,0.7
73MI6E,Someone laughs at inappropriate jokes and makes others uncomfortable,1,gpt-3.5-turbo,1
75BJH8,A frying pan is lying on the bathroom floor,0,gpt-4-0613,0.7
76UEV9,A once bubbly and bustling brook was now just a trickle,2,gpt-4-0613,1
79XFT2,The unkempt man now dons a three-piece suit,2,gpt-4-0613,1
7B26CX,A photo frame is found in the kitchen drawer,0,gpt-4-0613,0.7
7F1QB0,"A pair of skis is on the front porch, leaning against the door",0,gpt-4-0613,0.7
7FX4V0,"A friend always insists on paying for dinner, but only takes a few bites of their own food",1,gpt-3.5-turbo,1
7H2E9X,"A woman keeps a stack of travel brochures on her coffee table, though she never goes on any trips",1,gpt-3.5-turbo,1
7HJN65,A winter coat is buried in the sand on the beach,0,gpt-4-0613,0.7
7I8JF3,A busy city square is now desolate and empty,2,gpt-4-0613,1
7IO0B5,A car key lies on the sand at the beach,0,gpt-4-0613,0.7
7KR20B,"A roommate spends hours every day playing video games, neglecting their responsibilities",1,gpt-3.5-turbo,1
7R4I8O,A hairdryer is found in the toolbox,0,gpt-4-0613,0.7
7R81XL,The lively pub had switched its lamps off,2,gpt-4-0613,1
7UD0Z1,The barren tree in the front yard flourishes with fresh leaves,2,gpt-4-0613,1
7VMR20,"A coworker meticulously labels all their office supplies, even the ones they keep for personal use",1,gpt-3.5-turbo,1
7XQI23,"A rusty, squeaky bicycle now glides along the pavement without a sound",2,gpt-4-0613,1
7Y4P5J,"A man always wears a cape, even when there is no special occasion",1,gpt-3.5-turbo,1
80C5WV,"A neighbor takes pictures of every meal they eat, regardless of how mundane.",1,gpt-3.5-turbo,1
80QD3V,"In the bathtub, a pair of ski boots is soaking",0,gpt-4-0613,0.7
80ZM2A,"A man, often seen biking to work, is now driving a sleek sports car",2,gpt-4-0613,1
829VED,The street that was always filled with children playing was ominously quiet,2,gpt-4-0613,1
82GS6M,A family member never offers help or support in times of need,1,gpt-3.5-turbo,1
82HU3L,A field of yellow sunflowers is now golden wheat,2,gpt-4-0613,1
849WPQ,"A basketball is floating in a backyard pool, bobbing gently in the water",0,gpt-4-0613,0.7
84QG0D,A cell phone is in a cereal box,0,gpt-4-0613,0.7
85PK4Z,A watering can is in the living room,0,gpt-4-0613,0.7
891NOJ,A pair of glasses is hanging from a tree branch,0,gpt-4-0613,0.7
89K5ZA,A once busy cafe sat vacant and empty,2,gpt-4-0613,1
89PV1I,A coworker has a framed picture of their pet turtle on their desk,1,gpt-3.5-turbo,1
8A5UT0,A pair of eyeglasses is hanging on the Christmas tree,0,gpt-4-0613,0.7
8A5Y9S,A wristwatch is discovered inside a shoe,0,gpt-4-0613,0.7
8A70NI,"A teenager always wears long sleeves, even in hot weather",1,gpt-3.5-turbo,1
8A7F9O,A laptop is positioned under a running shower,0,gpt-4-0613,0.7
8A7UZ1,"A coworker always wears long-sleeved shirts, even during the hottest days of summer",1,gpt-3.5-turbo,1
8AI45P,"A toothbrush is embedded in a flower pot, nestled among the blooming petunias",0,gpt-4-0613,0.7
8CF21W,A feather duster is sticking out of the backpack,0,gpt-4-0613,0.7
8F31OS,"A notebook, once full and bursting, now holds only a few lonely pages",2,gpt-4-0613,1
8FYZ75,The notorious stray cat was not seen in its usual spot near the trash bins,2,gpt-4-0613,1
8GD9U4,"A single shoe is placed on top of a mailbox, untouched by the mailman",0,gpt-4-0613,0.7
8H3SQ5,A woman carefully arranges all her items in her grocery cart by color,1,gpt-3.5-turbo,1
8MBU15,"A bed, once hard as a rock, now sinks in comfort",2,gpt-4-0613,1
8MX94R,"A man wears gloves indoors, regardless of temperature",1,gpt-3.5-turbo,1
8O75XE,"A coworker always carries a tape measure in their pocket, measuring objects whenever they can",1,gpt-3.5-turbo,1
8QV3X4,A friend cancels plans at the last minute without giving any explanation,1,gpt-3.5-turbo,1
8W6TZ5,The buzzing street is now blanketed in an eerie silence,2,gpt-4-0613,1
8YSQ93,"A coworker has a collection of ceramic figurines on their desk, meticulously arranged",1,gpt-3.5-turbo,1
8ZI54H,A woman takes weekly yoga classes but seems stressed and anxious all the time,1,gpt-3.5-turbo,1
90VE3R,A teddy bear is floating in the swimming pool,0,gpt-4-0613,0.7
912IVK,"A man never takes off his hat, even when inside a building",1,gpt-3.5-turbo,1
918VAP,A colleague never volunteers for extra work but always takes credit for the final outcome,1,gpt-3.5-turbo,1
921NXE,The empty cafe now has a line out the door.,2,gpt-4-0613,1
94IPZ1,"A man volunteers for overtime at work every week, even though he complains about being overworked",1,gpt-3.5-turbo,1
95XAT6,The alarm clock is under the sofa,0,gpt-4-0613,0.7
9A6ZM3,A vacuum cleaner is standing in the middle of a playground,0,gpt-4-0613,0.7
9B3A8W,A child has a collection of insects kept in glass jars in their room,1,gpt-3.5-turbo,1
9BOH64,A woman frequently spotted at parties was seen alone at the park,2,gpt-4-0613,1
9C5BG8,A renowned painter is seen selling his pieces on the street,2,gpt-4-0613,1
9CJ2S8,A neighbor always parks their car in front of someone else's house,1,gpt-3.5-turbo,1
9DGW40,The mailbox is filled with groceries,0,gpt-4-0613,0.7
